"","x"
"1",-0.56704443102498
"2",-0.512130617101104
"3",0.503541885984091
"4",-0.548181074817597
"5",0.495532611074126
"6",0.464645164161902
"7",-0.518995296774935
"8",-0.961766676965584
"9",0.879196942536677
"10",0.973610062667947
"11",-0.9681433354266
"12",-0.394255718174354
"13",0.51772055510128
"14",-0.555843317594418
"15",-0.964771328090995
"16",-0.523401039801554
"17",1.05219975631428
"18",0.470053787884102
"19",-0.403124207584021
"20",0.474567992192754
"21",0.465736371954313
"22",-0.985161671223785
"23",-0.903991147309003
"24",0.894303122910113
"25",-0.954410145593191
"26",-0.919991302293682
"27",-0.470199038446345
"28",-0.529325257384367
"29",-1.13682254356771
"30",0.835622707136625
"31",-0.514288868252349
"32",0.805573792777377
"33",-0.50665984608381
"34",0.572993107572582
"35",0.491830606968291
"36",-0.890170728520308
"37",0.4877612142602
"38",-0.45266949299611
"39",-0.551771747249326
"40",0.489817064329926
"41",0.8222902412894
"42",0.463834575660591
"43",-0.898760456652937
"44",-0.465909047236575
"45",-0.507918800441175
"46",-0.393344178638891
"47",0.540445526976416
"48",0.798370887614326
"49",0.494784619362971
"50",-0.465231985332564
"51",-0.964771328090995
"52",1.17549322197422
"53",-0.385973983114736
"54",-0.460647101593635
"55",-0.448879902741226
"56",0.789328817299418
"57",0.562925977703043
"58",0.490695833198401
"59",0.468971333409111
"60",-0.42641593809737
"61",0.799621628797975
"62",0.570847770631798
"63",-1.12166659782687
"64",0.457789304880547
"65",0.288950756588821
"66",0.477180737847972
"67",0.563570973886873
"68",-1.14962885185003
"69",0.588558444117036
"70",0.789320317745965
"71",-0.435248094948152
"72",0.494985483785354
"73",0.52471346313255
"74",-0.435248094948152
"75",-1.03673128414932
"76",-0.46532216460246
"77",-1.15964580754181
"78",0.490284896265931
"79",0.649654667124969
"80",0.52502576581939
"81",0.52502576581939
"82",-0.524354399136668
"83",1.09164367827495
"84",-0.968424902036308
"85",-0.388432837798735
"86",0.524705850479766
"87",-0.388353643668264
"88",-0.396902289804232
"89",-0.968096299339968
"90",-0.55257845639358
"91",0.463834575660591
"92",0.464521786777924
"93",1.04138918171305
"94",0.465736371954313
"95",0.494449930271792
"96",-0.557416153975485
"97",0.149024332460267
"98",-1.11959316875529
"99",0.466864199873388
"100",-0.883429471762824
"101",0.849701939379302
"102",-0.515175174860091
"103",0.789320317745965
"104",0.789896758993699
"105",-0.543018268256289
"106",-0.458719422285758
"107",0.477180737847972
"108",0.812987319381685
"109",-1.0571400224588
"110",0.465106993449161
"111",-0.539640693305669
"112",0.464448607455195
"113",-0.436573621805671
"114",0.906965623276502
"115",-0.903546779844862
"116",-1.22839136209843
"117",-0.51224515594969
"118",0.476557864127199
"119",-0.517452382252987
"120",0.581914607524894
"121",0.49671607726135
"122",0.561186419943656
"123",0.579687835179562
"124",-0.550773487485042
"125",-0.518873072047422
"126",-0.511524439471293
"127",0.514097113453441
"128",-0.895810575071583
"129",0.583026436342486
"130",0.810444388997687
"131",-0.397273514066684
"132",0.468971333409111
"133",0.527168967258572
"134",0.491830606968291
"135",1.05647137293249
"136",0.827657021485683
"137",-0.992194216659896
"138",0.514463159959888
"139",0.473021223535374
"140",-0.502940222336853
"141",-0.438098534632792
"142",0.457789304880547
"143",-0.523170694435188
"144",0.50935898851764
"145",0.570364110413415
"146",-0.546471781961021
"147",0.499461788007115
"148",-1.05226654787801
"149",0.47699899489991
"150",0.532392549344029
"151",-0.461128806754668
"152",-0.995447576311297
"153",-0.394460332448791
"154",0.539303654555609
"155",0.47795578463359
"156",0.460520613998791
"157",-0.552729092685394
"158",-0.399309809957774
"159",0.849558987466208
"160",0.541570309708445
"161",0.499739681063709
"162",-0.382749397627856
"163",0.812801939274619
"164",0.494784619362971
"165",-0.508499138687456
"166",-0.485179243568892
"167",-0.891743657578462
"168",0.423972089330312
"169",-0.439755784997596
"170",-0.460647101593635
"171",0.57255675569201
"172",-0.396097388879121
"173",0.563004222173676
"174",-0.525489335461467
"175",0.592532224808579
"176",-0.511524439471293
"177",0.484436067829454
"178",0.424100373835412
"179",-0.414429291844268
"180",-0.539640693305669
"181",0.446353677816822
"182",-0.55439820104009
"183",1.11640648788829
"184",-0.528228036000825
"185",0.581914607524894
"186",0.539393448750216
"187",0.544814599177931
"188",0.860447336109933
"189",-0.460647101593635
"190",-0.900523242972935
"191",0.50736804678853
"192",-1.12904937840657
"193",-0.440714218302749
"194",0.481048724838525
"195",0.869397122015996
"196",-0.888245609869937
"197",0.802230922917722
"198",-0.456200383094199
"199",0.863560015975193
"200",-0.551276244252007
"201",0.474507989014069
"202",-0.408516847128056
"203",0.561186419943656
"204",0.54095622938808
"205",0.497129315447003
"206",0.83437618983357
"207",-0.962144432240051
"208",-0.381217205757121
"209",-1.03417976488256
"210",-0.919991302293682
"211",0.467949763390054
"212",0.491499195402263
"213",-0.907531014223186
"214",0.514097113453441
"215",-0.56247272959029
"216",-1.04961014144734
"217",-1.05842360476078
"218",-0.517200582076245
"219",-0.463687374841639
"220",0.453905626768054
"221",-0.382592089665065
"222",0.464521786777924
"223",-0.539266512848522
"224",0.581981292233274
"225",-0.94948185179982
"226",-0.51083558328398
"227",-0.956284142005545
"228",0.514574439292533
"229",0.864103373787198
"230",-0.450151209344323
"231",-0.518873072047422
"232",0.803770366387495
"233",-0.921000434585205
"234",0.473536553691669
"235",0.316322060149242
"236",0.525622778265533
"237",0.439466172295181
"238",0.46773618066558
"239",0.46773618066558
"240",-0.388709409907335
"241",0.875293192103465
"242",-0.981576853038691
"243",-0.96492167219419
"244",-0.50133935487862
"245",0.50736804678853
"246",-1.0435018326528
"247",-1.03673128414932
"248",-0.537621014409948
"249",-0.0683984418806653
"250",1.05460907657803
"251",-0.384769788861379
"252",0.793693894787951
"253",-1.14633213192432
"254",-0.910332486866412
"255",-0.492158957661831
"256",-0.921300463728863
"257",0.503919876934215
"258",0.470053787884102
"259",-0.95252626330288
"260",-0.464085555231968
"261",-0.956368520262152
"262",-0.419730988969008
"263",-0.408182113360151
"264",0.516515751933865
"265",-0.505225429056095
"266",1.0548724186806
"267",-0.46148816486704
"268",-0.988225614184465
"269",0.561033262859242
"270",0.574213265552038
"271",0.49197928401008
"272",-0.365203312848011
"273",0.819687496217358
"274",-0.985382940088105
"275",-1.20253305436391
"276",-0.394255718174354
"277",0.527168967258572
"278",-0.914733607281471
"279",0.565330693712989
"280",0.570590190157626
"281",-0.436973275725294
"282",-0.550625942260154
"283",0.511923825977689
"284",0.489440882275597
"285",0.51772055510128
"286",-0.4606407400831
"287",-0.551771747249326
"288",0.579687835179562
"289",0.791703940129828
"290",-0.496612525711792
"291",-0.548181074817597
"292",-0.446562137736294
"293",-0.502258413440619
"294",-0.551771747249326
"295",-0.42747976811843
"296",-0.430054488104361
"297",-0.458393524148663
"298",0.476557864127199
"299",0.541740229463653
"300",0.588471122863435
"301",-0.50674818306273
"302",-0.921300463728863
"303",0.446934074561405
"304",-0.954410145593191
"305",0.446934074561405
"306",0.457789304880547
"307",0.581016578596039
"308",0.567327343059808
"309",0.796651890748312
"310",0.561186419943656
"311",0.466864199873388
"312",0.537122878933873
"313",-0.391947971191254
"314",1.0307077665853
"315",-0.697687866461677
"316",-0.00255479676458656
"317",-0.517452382252987
"318",-0.475617328109985
"319",0.598567655081555
"320",0.553585197297584
"321",-0.974145616378412
